Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Operations,Manufacturer,Tier1,5L-20L,Daily,"Glass, Paper",Excel,Supplier,High,"Wastage, Supplier Issues",Daily,20K-1L,Low,"Premium, Plastic",Branding,"Regulation, Cost Increase",10K-50K,5-10%,High,Finance,"Performance, Forecasting, Supplier Analytics",Very Likely,Yes
Procurement,Restaurant,Tier1,20L-1Cr,Bulk,"Plastic, Paper, Flexible",ERP,"Cost, Inventory",High,Storage,Weekly,5K-20K,,Recyclable,Cost,"Supplier Issues, Complaints, Cost Increase",2L-10L,5-10%,High,Operations,"Forecasting, Performance, Sustainability",Very Likely,Yes
Operations,Restaurant,Tier1,5L-20L,Monthly,"Glass, Biodegradable, Plastic",ERP,,Medium,"Breakage, High Cost, Sustainability",Daily,20K-1L,,"Premium, Plastic",Cost,"Complaints, Cost Increase",10K-50K,<5%,High,Multiple,"Performance, Sustainability",Very Likely,Yes
Procurement,FMCG,Tier1,5L-20L,Monthly,"Biodegradable, Paper",Vendor,,Medium,Breakage,Weekly,20K-1L,Medium,"Biodegradable, Recyclable",Sustainability,"Cost Increase, Supplier Issues",10K-50K,10-20%,High,Finance,"Supplier Analytics, Performance",Very Likely,Yes
Finance,FMCG,Tier3,20L-1Cr,Daily,Flexible,Excel,"Failures, Inventory, Cost",High,"Sustainability, Storage, Breakage",Monthly,<5K,High,"Biodegradable, Paper",Sustainability,Sustainability,2L-10L,5-10%,Medium,Finance,Supplier Analytics,Very Likely,Yes
Owner,Supplier,Tier1,1Cr+,Bulk,"Plastic, Biodegradable, Flexible",Experience,"Supplier, Inventory, Cost",Medium,"Sustainability, Wastage, Breakage",Rare,<5K,Low,"Premium, Recyclable",Quality,Regulation,2L-10L,5-10%,Low,Finance,Cost Dashboard,Very Likely,Maybe
Owner,FMCG,Tier1,5L-20L,Bulk,"Paper, Flexible, Glass",Excel,"Inventory, Cost, Failures",High,"Supplier Issues, Sustainability, High Cost",Monthly,<5K,Medium,Recyclable,Cost,"Regulation, Supplier Issues",50K-2L,10-20%,Medium,Operations,"Forecasting, Performance, Cost Dashboard",Not Sure,Maybe
Operations,Supplier,Tier2,<5L,Bulk,Glass,Vendor,Supplier,High,"Wastage, Storage",Monthly,<5K,Medium,"Paper, Biodegradable, Premium",Branding,"Sustainability, Cost Increase, Supplier Issues",<10K,10-20%,Medium,Finance,"Supplier Analytics, Cost Dashboard, Forecasting",Likely,Maybe
Operations,Restaurant,Tier2,<5L,Daily,"Biodegradable, Plastic, Paper",No Process,"Supplier, Inventory, Cost",Medium,"High Cost, Storage",Monthly,<5K,High,"Paper, Biodegradable",Sustainability,"Cost Increase, Supplier Issues, Complaints",<10K,20-30%,High,Multiple,"Sustainability, Forecasting",Not Sure,Maybe
Finance,Restaurant,Tier2,<5L,Weekly,"Biodegradable, Glass",No Process,Failures,Medium,"High Cost, Sustainability",Weekly,20K-1L,Medium,Premium,Quality,"Regulation, Sustainability",<10K,20-30%,High,Operations,"Supplier Analytics, Forecasting, Performance",Likely,Yes
Operations,Cloud Kitchen,Tier1,<5L,Weekly,Biodegradable,Experience,"Supplier, Cost, Failures",High,"High Cost, Storage",Weekly,5K-20K,Medium,Recyclable,Cost,"Regulation, Supplier Issues",<10K,10-20%,High,Finance,"Cost Dashboard, Forecasting",Likely,No
Owner,Restaurant,Tier1,20L-1Cr,Weekly,"Plastic, Biodegradable, Glass",Excel,Supplier,High,"Breakage, High Cost, Supplier Issues",Weekly,20K-1L,Medium,"Paper, Premium, Plastic",Branding,"Regulation, Supplier Issues, Complaints",50K-2L,10-20%,High,Owner,"Sustainability, Forecasting, Cost Dashboard",Very Likely,Yes
Procurement,Restaurant,Tier2,5L-20L,Daily,"Plastic, Glass",Vendor,"Inventory, Cost",High,"Breakage, High Cost, Storage",Weekly,5K-20K,High,"Plastic, Paper",Quality,"Regulation, Sustainability, Supplier Issues",10K-50K,20-30%,High,Multiple,Cost Dashboard,Likely,Maybe
Procurement,Restaurant,Tier1,5L-20L,Monthly,"Flexible, Paper, Plastic",Excel,,Medium,"High Cost, Wastage, Sustainability",Monthly,<5K,High,"Premium, Recyclable, Paper",Cost,"Cost Increase, Supplier Issues, Regulation",50K-2L,<5%,High,Finance,"Cost Dashboard, Performance",Likely,No
Owner,Cloud Kitchen,Tier2,1Cr+,Daily,"Biodegradable, Glass, Paper",ERP,,Low,"Storage, Breakage, Wastage",Monthly,<5K,Low,Recyclable,Quality,"Supplier Issues, Regulation, Sustainability",10L+,10-20%,High,Operations,"Sustainability, Cost Dashboard, Forecasting",Very Likely,Maybe
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Paper, Plastic, Flexible",Excel,"Cost, Supplier",Medium,"Sustainability, Supplier Issues, High Cost",Weekly,5K-20K,Medium,"Plastic, Paper",Cost,"Sustainability, Supplier Issues, Cost Increase",50K-2L,5-10%,Low,Multiple,"Sustainability, Supplier Analytics",Not Sure,Maybe
Owner,Restaurant,Tier1,1Cr+,Weekly,Glass,Vendor,"Cost, Supplier",Medium,"Storage, High Cost, Wastage",Weekly,5K-20K,Low,"Premium, Plastic, Recyclable",Quality,"Sustainability, Supplier Issues",2L-10L,5-10%,High,Finance,Sustainability,Very Likely,Yes
Operations,FMCG,Tier2,5L-20L,Monthly,"Paper, Flexible, Plastic",Excel,"Inventory, Failures",High,"Wastage, Breakage, High Cost",Weekly,20K-1L,High,"Paper, Recyclable, Plastic",Sustainability,Sustainability,50K-2L,10-20%,Low,Multiple,"Forecasting, Performance",Likely,Maybe
Operations,Restaurant,Tier2,<5L,Monthly,"Biodegradable, Flexible, Plastic",Vendor,Supplier,High,Wastage,Rare,<5K,Medium,Premium,Cost,Supplier Issues,<10K,<5%,Low,Owner,"Sustainability, Supplier Analytics",Likely,No
Operations,Cloud Kitchen,Tier2,5L-20L,Monthly,Glass,No Process,Inventory,High,Supplier Issues,Weekly,20K-1L,High,Paper,Sustainability,"Supplier Issues, Cost Increase, Regulation",10K-50K,5-10%,High,Owner,"Supplier Analytics, Cost Dashboard, Sustainability",Very Likely,Yes
Operations,FMCG,Tier2,5L-20L,Bulk,"Plastic, Biodegradable, Glass",Experience,"Failures, Inventory",High,"Sustainability, Breakage, High Cost",Weekly,5K-20K,Medium,"Premium, Biodegradable, Recyclable",Sustainability,"Cost Increase, Complaints",10K-50K,5-10%,High,Finance,"Supplier Analytics, Sustainability, Forecasting",Likely,Maybe
Operations,FMCG,Tier1,1Cr+,Monthly,"Biodegradable, Plastic",Excel,,Low,"Storage, High Cost, Sustainability",Rare,<5K,High,"Premium, Paper, Biodegradable",Cost,"Sustainability, Regulation",10L+,<5%,High,Multiple,"Supplier Analytics, Performance",Likely,No
Owner,Restaurant,Tier1,<5L,Monthly,Glass,Vendor,"Supplier, Cost",High,"High Cost, Wastage, Storage",Weekly,20K-1L,Low,Paper,Sustainability,"Complaints, Cost Increase",<10K,10-20%,Medium,Finance,"Sustainability, Cost Dashboard, Supplier Analytics",Likely,Maybe
Procurement,FMCG,Tier1,5L-20L,Bulk,Biodegradable,ERP,"Supplier, Inventory",Medium,"Storage, High Cost, Sustainability",Daily,1L+,,"Plastic, Premium, Recyclable",Quality,Complaints,10K-50K,10-20%,High,Finance,"Supplier Analytics, Sustainability",Likely,Yes
Operations,Cloud Kitchen,Tier1,<5L,Weekly,"Plastic, Glass",No Process,"Failures, Cost, Inventory",High,"Storage, Supplier Issues",Monthly,<5K,Medium,Plastic,Sustainability,"Sustainability, Supplier Issues, Complaints",<10K,20-30%,Medium,Finance,Sustainability,Likely,No
Procurement,Cloud Kitchen,Tier2,<5L,Weekly,"Biodegradable, Flexible",No Process,,Low,"Sustainability, High Cost",Daily,20K-1L,Low,Premium,Branding,Supplier Issues,<10K,30%+,Low,Operations,Cost Dashboard,Very Likely,Maybe
Owner,Manufacturer,Tier2,1Cr+,Monthly,Glass,No Process,"Supplier, Failures",Medium,Wastage,Weekly,5K-20K,Medium,"Recyclable, Plastic",Sustainability,"Sustainability, Cost Increase, Regulation",10L+,<5%,High,Owner,"Sustainability, Cost Dashboard, Performance",Likely,Maybe
Operations,Cloud Kitchen,Tier1,5L-20L,Weekly,"Paper, Flexible, Plastic",Excel,Failures,High,"High Cost, Supplier Issues",Weekly,20K-1L,Low,"Premium, Paper, Biodegradable",Branding,"Regulation, Sustainability, Supplier Issues",50K-2L,5-10%,High,Finance,"Supplier Analytics, Cost Dashboard, Sustainability",Very Likely,Yes
Procurement,Cloud Kitchen,Tier2,5L-20L,Monthly,"Flexible, Plastic, Paper",Excel,"Failures, Cost",High,"High Cost, Wastage, Sustainability",Monthly,<5K,Low,"Plastic, Paper",Cost,"Cost Increase, Complaints, Sustainability",10K-50K,5-10%,High,Multiple,"Supplier Analytics, Performance, Cost Dashboard",Likely,Maybe
Operations,Cloud Kitchen,Tier3,5L-20L,Daily,"Flexible, Biodegradable, Plastic",No Process,"Cost, Inventory, Failures",Medium,"Wastage, Supplier Issues",Monthly,5K-20K,Low,"Recyclable, Premium, Biodegradable",Branding,"Regulation, Sustainability",50K-2L,20-30%,Medium,Operations,"Cost Dashboard, Supplier Analytics, Performance",Not Sure,Maybe
Owner,Manufacturer,Tier2,1Cr+,Daily,"Paper, Flexible, Plastic",ERP,"Failures, Cost, Inventory",High,"High Cost, Breakage, Sustainability",Monthly,<5K,High,"Recyclable, Plastic",Cost,Regulation,2L-10L,5-10%,High,Operations,"Cost Dashboard, Performance",Likely,No
Procurement,Restaurant,Tier3,20L-1Cr,Weekly,"Biodegradable, Glass, Flexible",Vendor,"Inventory, Cost",High,"Supplier Issues, Wastage",Weekly,20K-1L,Medium,"Plastic, Paper",Quality,"Regulation, Supplier Issues, Complaints",50K-2L,20-30%,High,Finance,Forecasting,Very Likely,Yes
Procurement,Restaurant,Tier2,20L-1Cr,Weekly,Glass,Experience,Supplier,Medium,Supplier Issues,Daily,20K-1L,Medium,"Biodegradable, Premium",Sustainability,"Supplier Issues, Complaints",50K-2L,<5%,Low,Owner,"Supplier Analytics, Forecasting, Cost Dashboard",Likely,Maybe
Procurement,Restaurant,Tier2,1Cr+,Daily,"Biodegradable, Flexible",ERP,"Supplier, Failures, Inventory",Medium,"Breakage, Wastage, High Cost",Weekly,20K-1L,,"Biodegradable, Recyclable",Quality,Supplier Issues,2L-10L,10-20%,Low,Multiple,"Cost Dashboard, Forecasting, Supplier Analytics",Very Likely,Yes
Procurement,Restaurant,Tier2,5L-20L,Daily,Flexible,Vendor,Cost,High,"High Cost, Wastage, Sustainability",Monthly,5K-20K,Low,"Recyclable, Plastic, Premium",Branding,"Sustainability, Supplier Issues, Complaints",10K-50K,10-20%,High,Multiple,Supplier Analytics,Not Sure,No
Owner,Restaurant,Tier1,20L-1Cr,Bulk,"Plastic, Biodegradable, Paper",ERP,,Low,"Supplier Issues, Breakage, Wastage",Monthly,5K-20K,Low,"Plastic, Premium, Recyclable",Sustainability,"Complaints, Regulation, Cost Increase",50K-2L,5-10%,Medium,Owner,"Cost Dashboard, Forecasting, Performance",Not Sure,Maybe
Owner,Cloud Kitchen,Tier2,<5L,Monthly,Biodegradable,No Process,,Low,"Breakage, Sustainability",Monthly,5K-20K,Low,"Recyclable, Premium, Plastic",Quality,"Supplier Issues, Complaints, Cost Increase",<10K,10-20%,High,Operations,"Performance, Supplier Analytics",Likely,No
Owner,Cloud Kitchen,Tier3,5L-20L,Monthly,Flexible,Excel,,Medium,Wastage,Daily,20K-1L,High,"Premium, Biodegradable",Sustainability,"Supplier Issues, Regulation",10K-50K,10-20%,Low,Operations,Supplier Analytics,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,20L-1Cr,Daily,"Flexible, Plastic, Glass",Experience,"Cost, Failures",High,"Breakage, Sustainability, Wastage",Monthly,<5K,Medium,"Plastic, Paper",Branding,Complaints,2L-10L,<5%,High,Finance,Cost Dashboard,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,20L-1Cr,Bulk,"Glass, Paper",Vendor,"Supplier, Failures, Inventory",High,"Sustainability, High Cost, Breakage",Daily,1L+,Low,"Recyclable, Premium",Sustainability,"Complaints, Cost Increase",50K-2L,5-10%,Low,Operations,"Performance, Forecasting, Cost Dashboard",Very Likely,Yes
Owner,Cloud Kitchen,Tier3,20L-1Cr,Weekly,Biodegradable,ERP,,Low,"Breakage, High Cost",Weekly,5K-20K,,"Plastic, Biodegradable",Quality,Sustainability,50K-2L,20-30%,High,Operations,Supplier Analytics,Likely,Maybe
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Daily,"Glass, Biodegradable, Flexible",No Process,"Cost, Inventory",Medium,Supplier Issues,Monthly,<5K,High,"Recyclable, Paper, Premium",Sustainability,"Supplier Issues, Complaints",50K-2L,10-20%,High,Owner,"Cost Dashboard, Forecasting, Supplier Analytics",Not Sure,Maybe
Owner,Cloud Kitchen,Tier2,5L-20L,Bulk,"Glass, Paper",Excel,Supplier,Medium,Sustainability,Monthly,5K-20K,Medium,"Recyclable, Biodegradable, Paper",Cost,Sustainability,50K-2L,10-20%,High,Owner,Sustainability,Likely,Maybe
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Daily,"Glass, Biodegradable, Plastic",Experience,"Supplier, Inventory",High,"High Cost, Sustainability",Weekly,20K-1L,Medium,Premium,Branding,Complaints,2L-10L,20-30%,Medium,Multiple,Sustainability,Very Likely,Yes
Operations,Supplier,Tier1,20L-1Cr,Daily,"Flexible, Glass, Plastic",No Process,"Failures, Inventory",Medium,"Storage, High Cost",Weekly,5K-20K,,Plastic,Quality,"Cost Increase, Supplier Issues",2L-10L,5-10%,High,Owner,"Supplier Analytics, Performance",Very Likely,Maybe
Operations,Cloud Kitchen,Tier3,1Cr+,Monthly,"Flexible, Plastic",ERP,Cost,High,Sustainability,Weekly,20K-1L,High,Recyclable,Quality,Complaints,2L-10L,10-20%,Medium,Multiple,Performance,Very Likely,Maybe
Owner,Supplier,Tier1,<5L,Daily,"Paper, Glass",No Process,"Supplier, Failures, Cost",Medium,Supplier Issues,Weekly,5K-20K,,"Biodegradable, Plastic",Sustainability,Sustainability,<10K,<5%,High,Owner,"Cost Dashboard, Forecasting",Unlikely,No
Operations,Restaurant,Tier2,20L-1Cr,Daily,"Biodegradable, Plastic",ERP,,Low,"High Cost, Sustainability, Breakage",Weekly,5K-20K,High,Biodegradable,Sustainability,"Sustainability, Regulation",50K-2L,5-10%,High,Operations,"Cost Dashboard, Supplier Analytics",Unlikely,Maybe
Operations,FMCG,Tier3,20L-1Cr,Monthly,"Paper, Biodegradable",ERP,Supplier,Medium,Wastage,Weekly,20K-1L,High,"Premium, Paper",Branding,"Complaints, Supplier Issues",50K-2L,5-10%,High,Operations,"Sustainability, Performance",Very Likely,Yes
Owner,Manufacturer,Tier2,5L-20L,Bulk,Glass,Excel,"Cost, Inventory, Supplier",Medium,Sustainability,Rare,<5K,High,"Plastic, Biodegradable, Premium",Cost,"Supplier Issues, Regulation",10K-50K,5-10%,Low,Owner,Sustainability,Likely,No
Finance,Manufacturer,Tier1,20L-1Cr,Bulk,"Paper, Glass",Vendor,"Supplier, Inventory",Medium,"Storage, Sustainability",Weekly,5K-20K,Medium,Premium,Cost,"Complaints, Cost Increase, Regulation",50K-2L,20-30%,High,Finance,Sustainability,Not Sure,No
Owner,Cloud Kitchen,Tier2,1Cr+,Weekly,Flexible,ERP,"Failures, Cost",High,"Wastage, Breakage, High Cost",Weekly,5K-20K,Medium,"Plastic, Biodegradable",Sustainability,"Cost Increase, Complaints, Regulation",2L-10L,5-10%,High,Multiple,Cost Dashboard,Very Likely,Maybe
Owner,FMCG,Tier1,<5L,Daily,"Flexible, Biodegradable",Experience,"Supplier, Cost",Medium,"Breakage, Supplier Issues, Wastage",Monthly,<5K,Low,"Biodegradable, Paper, Recyclable",Sustainability,Complaints,<10K,20-30%,High,Finance,Cost Dashboard,Not Sure,No
Operations,Cloud Kitchen,Tier1,20L-1Cr,Monthly,"Paper, Plastic, Biodegradable",ERP,Supplier,Medium,High Cost,Daily,1L+,High,"Recyclable, Paper, Biodegradable",Cost,"Sustainability, Supplier Issues",2L-10L,10-20%,Low,Owner,"Supplier Analytics, Forecasting, Sustainability",Very Likely,Maybe
Owner,Manufacturer,Tier1,5L-20L,Weekly,"Paper, Glass, Biodegradable",Vendor,"Supplier, Failures",High,"Storage, Supplier Issues",Weekly,20K-1L,Medium,"Paper, Biodegradable, Plastic",Sustainability,"Regulation, Sustainability, Complaints",10K-50K,5-10%,Medium,Owner,"Supplier Analytics, Cost Dashboard",Very Likely,Yes
Procurement,Restaurant,Tier1,1Cr+,Monthly,Paper,Excel,,Medium,"Wastage, Supplier Issues",Weekly,20K-1L,High,"Recyclable, Paper",Branding,"Cost Increase, Complaints",2L-10L,20-30%,High,Multiple,"Forecasting, Supplier Analytics, Sustainability",Very Likely,Yes
Owner,Restaurant,Tier2,<5L,Monthly,"Flexible, Biodegradable, Glass",ERP,"Supplier, Inventory, Failures",High,"Supplier Issues, Sustainability, Storage",Daily,1L+,High,Plastic,Branding,"Regulation, Complaints",<10K,10-20%,Low,Operations,"Cost Dashboard, Performance, Sustainability",Likely,Maybe
Operations,FMCG,Tier2,<5L,Daily,Flexible,Vendor,"Supplier, Inventory",Medium,"Supplier Issues, Wastage",Daily,20K-1L,Medium,Paper,Quality,"Complaints, Sustainability",<10K,5-10%,High,Owner,"Forecasting, Performance",Very Likely,Yes
Finance,Restaurant,Tier1,5L-20L,Bulk,Biodegradable,No Process,"Cost, Supplier",High,"High Cost, Wastage",Monthly,<5K,Low,Biodegradable,Quality,"Cost Increase, Supplier Issues",50K-2L,10-20%,Medium,Multiple,"Performance, Cost Dashboard, Sustainability",Likely,No
Procurement,Restaurant,Tier2,5L-20L,Monthly,Biodegradable,No Process,,Low,"High Cost, Storage",Weekly,5K-20K,High,"Premium, Paper",Branding,"Sustainability, Cost Increase",50K-2L,5-10%,Medium,Multiple,"Sustainability, Performance, Supplier Analytics",Unlikely,Maybe
Operations,Manufacturer,Tier2,5L-20L,Daily,Flexible,ERP,"Supplier, Failures, Inventory",Medium,"Breakage, Supplier Issues",Daily,20K-1L,Medium,"Biodegradable, Recyclable, Plastic",Sustainability,"Cost Increase, Complaints, Supplier Issues",10K-50K,30%+,Medium,Finance,Forecasting,Very Likely,Yes
Owner,Restaurant,Tier1,20L-1Cr,Daily,Plastic,No Process,"Supplier, Inventory, Failures",Medium,"Wastage, Storage, High Cost",Daily,20K-1L,Low,"Paper, Recyclable, Premium",Sustainability,"Sustainability, Supplier Issues, Regulation",2L-10L,20-30%,Medium,Owner,Forecasting,Likely,Maybe
Owner,Cloud Kitchen,Tier1,<5L,Bulk,Biodegradable,Vendor,Failures,High,"Storage, High Cost, Breakage",Monthly,<5K,Low,Paper,Quality,"Sustainability, Cost Increase",<10K,5-10%,High,Owner,"Forecasting, Performance, Sustainability",Not Sure,Maybe
Owner,Manufacturer,Tier1,5L-20L,Daily,Paper,Vendor,"Inventory, Supplier",High,Wastage,Weekly,5K-20K,,"Premium, Plastic",Branding,Supplier Issues,10K-50K,30%+,High,Operations,"Performance, Forecasting, Supplier Analytics",Likely,No
Finance,FMCG,Tier3,5L-20L,Daily,"Plastic, Glass",ERP,Failures,High,"Breakage, Wastage",Monthly,<5K,Low,"Plastic, Biodegradable, Recyclable",Sustainability,"Sustainability, Cost Increase, Complaints",10K-50K,20-30%,Low,Owner,"Supplier Analytics, Forecasting, Cost Dashboard",Likely,No
Operations,Cloud Kitchen,Tier1,<5L,Weekly,"Biodegradable, Flexible",No Process,"Inventory, Failures, Cost",High,High Cost,Rare,<5K,High,"Recyclable, Plastic, Biodegradable",Quality,Supplier Issues,<10K,10-20%,Low,Owner,"Forecasting, Cost Dashboard, Performance",Likely,Maybe
Owner,Supplier,Tier2,<5L,Bulk,Flexible,ERP,Inventory,High,Supplier Issues,Weekly,5K-20K,High,"Premium, Biodegradable",Cost,Regulation,<10K,10-20%,High,Multiple,"Cost Dashboard, Sustainability, Supplier Analytics",Likely,No
Procurement,Cloud Kitchen,Tier2,5L-20L,Bulk,"Paper, Biodegradable",Excel,,Medium,"Storage, Breakage",Weekly,5K-20K,Medium,Paper,Cost,"Cost Increase, Supplier Issues",10K-50K,5-10%,High,Owner,Forecasting,Likely,No
Owner,FMCG,Tier2,20L-1Cr,Bulk,Plastic,ERP,,Low,"Wastage, Breakage",Monthly,5K-20K,Medium,Biodegradable,Cost,Sustainability,2L-10L,10-20%,High,Finance,Performance,Very Likely,Yes
Procurement,FMCG,Tier2,<5L,Weekly,Biodegradable,ERP,"Inventory, Failures, Supplier",High,"Supplier Issues, Wastage, Breakage",Daily,1L+,Medium,"Biodegradable, Premium, Recyclable",Cost,"Regulation, Sustainability, Cost Increase",<10K,10-20%,High,Operations,"Cost Dashboard, Sustainability",Likely,Yes
Owner,Manufacturer,Tier1,<5L,Bulk,Paper,Excel,"Cost, Supplier",High,"Wastage, Supplier Issues",Weekly,5K-20K,Medium,"Recyclable, Paper, Premium",Sustainability,Complaints,<10K,10-20%,High,Multiple,Supplier Analytics,Not Sure,No
Owner,FMCG,Tier1,<5L,Daily,Flexible,Experience,"Inventory, Supplier, Cost",Medium,"Breakage, Supplier Issues, Storage",Monthly,<5K,High,"Paper, Recyclable, Premium",Cost,"Regulation, Cost Increase, Sustainability",<10K,<5%,High,Finance,Performance,Unlikely,Maybe
Owner,Restaurant,Tier1,5L-20L,Monthly,"Biodegradable, Plastic",Excel,"Supplier, Failures, Inventory",High,"High Cost, Wastage",Weekly,20K-1L,High,"Biodegradable, Recyclable",Cost,Sustainability,10K-50K,<5%,Low,Owner,"Performance, Cost Dashboard",Very Likely,Yes
Owner,Restaurant,Tier3,<5L,Weekly,Plastic,ERP,,Medium,"Supplier Issues, Storage, Breakage",Monthly,<5K,Medium,"Biodegradable, Recyclable",Cost,"Regulation, Cost Increase, Sustainability",<10K,5-10%,High,Finance,Performance,Not Sure,Maybe
Owner,FMCG,Tier2,<5L,Weekly,Plastic,Vendor,,Medium,"Wastage, Breakage",Weekly,20K-1L,Low,Paper,Quality,"Cost Increase, Regulation, Sustainability",<10K,20-30%,Medium,Multiple,"Forecasting, Sustainability, Performance",Very Likely,Yes
Owner,FMCG,Tier2,5L-20L,Weekly,"Paper, Glass",Excel,,Medium,"Supplier Issues, High Cost",Weekly,5K-20K,High,Paper,Cost,Supplier Issues,50K-2L,20-30%,High,Owner,"Performance, Supplier Analytics, Forecasting",Likely,Maybe
Owner,Supplier,Tier1,20L-1Cr,Bulk,"Glass, Paper, Plastic",ERP,"Cost, Failures",Medium,Storage,Weekly,5K-20K,,Biodegradable,Branding,Cost Increase,50K-2L,20-30%,Medium,Owner,Cost Dashboard,Likely,No
Procurement,Restaurant,Tier2,5L-20L,Daily,"Paper, Biodegradable, Flexible",No Process,Supplier,High,"Supplier Issues, Breakage",Monthly,5K-20K,High,"Premium, Paper, Recyclable",Quality,Regulation,50K-2L,<5%,Medium,Operations,"Supplier Analytics, Forecasting",Unlikely,Maybe
Procurement,Cloud Kitchen,Tier2,1Cr+,Weekly,"Paper, Glass, Plastic",Experience,Supplier,High,"Wastage, Breakage",Daily,1L+,High,"Recyclable, Paper, Premium",Branding,"Supplier Issues, Sustainability",2L-10L,5-10%,Low,Multiple,Supplier Analytics,Very Likely,Yes
Procurement,Restaurant,Tier1,1Cr+,Weekly,"Flexible, Glass, Biodegradable",Excel,"Supplier, Failures, Cost",High,"Supplier Issues, High Cost, Wastage",Monthly,<5K,Low,Recyclable,Sustainability,Supplier Issues,2L-10L,5-10%,Medium,Multiple,Cost Dashboard,Very Likely,Yes
Operations,Restaurant,Tier2,5L-20L,Weekly,Glass,Vendor,"Failures, Supplier",High,Wastage,Rare,5K-20K,Low,"Biodegradable, Recyclable, Plastic",Sustainability,Regulation,10K-50K,10-20%,Low,Operations,Forecasting,Unlikely,No
Owner,Cloud Kitchen,Tier3,<5L,Weekly,"Glass, Paper, Flexible",Vendor,"Cost, Inventory, Supplier",High,"Breakage, Supplier Issues",Weekly,20K-1L,Medium,"Recyclable, Plastic",Sustainability,"Sustainability, Regulation, Supplier Issues",<10K,10-20%,High,Operations,Cost Dashboard,Likely,Yes
Finance,FMCG,Tier2,20L-1Cr,Weekly,Glass,No Process,Supplier,High,"Breakage, Storage, Supplier Issues",Daily,20K-1L,Medium,"Paper, Recyclable, Biodegradable",Cost,Regulation,50K-2L,10-20%,High,Finance,"Cost Dashboard, Performance, Supplier Analytics",Likely,Yes
Owner,Cloud Kitchen,Tier1,20L-1Cr,Bulk,"Paper, Biodegradable, Plastic",No Process,"Inventory, Failures",High,High Cost,Weekly,5K-20K,Medium,"Paper, Premium, Biodegradable",Sustainability,"Sustainability, Cost Increase, Regulation",50K-2L,20-30%,Medium,Multiple,"Supplier Analytics, Cost Dashboard, Sustainability",Not Sure,Maybe
Operations,Restaurant,Tier1,20L-1Cr,Daily,"Flexible, Plastic, Glass",No Process,,Medium,"Supplier Issues, Sustainability",Monthly,<5K,Low,"Biodegradable, Plastic",Quality,"Cost Increase, Sustainability",2L-10L,<5%,High,Owner,"Sustainability, Performance",Likely,No
Procurement,FMCG,Tier2,20L-1Cr,Daily,"Plastic, Paper, Flexible",Vendor,"Cost, Supplier, Failures",Medium,"Supplier Issues, Storage",Weekly,20K-1L,High,"Recyclable, Premium",Sustainability,"Cost Increase, Complaints",50K-2L,10-20%,Low,Finance,"Forecasting, Cost Dashboard",Likely,Maybe
Finance,Cloud Kitchen,Tier3,20L-1Cr,Weekly,Paper,Experience,Cost,High,"Sustainability, Wastage, High Cost",Weekly,5K-20K,Low,"Recyclable, Premium, Plastic",Quality,"Supplier Issues, Complaints",50K-2L,20-30%,High,Owner,Sustainability,Unlikely,No
Finance,Manufacturer,Tier1,20L-1Cr,Monthly,Biodegradable,ERP,,Low,"Supplier Issues, High Cost, Breakage",Monthly,<5K,High,Biodegradable,Branding,"Cost Increase, Sustainability, Complaints",2L-10L,10-20%,Low,Operations,"Sustainability, Supplier Analytics, Forecasting",Likely,No
Procurement,Restaurant,Tier2,1Cr+,Monthly,"Biodegradable, Plastic",Experience,Supplier,High,"Wastage, High Cost, Breakage",Weekly,5K-20K,High,"Biodegradable, Recyclable, Premium",Branding,Supplier Issues,10L+,20-30%,Medium,Finance,Forecasting,Very Likely,Maybe
Procurement,Supplier,Tier3,<5L,Daily,"Paper, Flexible, Plastic",Experience,"Failures, Cost, Supplier",Medium,"Wastage, Sustainability, Supplier Issues",Monthly,<5K,High,Plastic,Branding,"Sustainability, Complaints",<10K,30%+,High,Operations,"Supplier Analytics, Performance",Unlikely,No
Operations,Manufacturer,Tier1,5L-20L,Monthly,"Flexible, Plastic, Biodegradable",No Process,"Failures, Cost",Medium,"Storage, Breakage",Monthly,5K-20K,Medium,"Biodegradable, Paper, Plastic",Quality,Sustainability,10K-50K,10-20%,Medium,Finance,"Sustainability, Performance",Not Sure,Maybe
Procurement,FMCG,Tier1,20L-1Cr,Bulk,Plastic,Vendor,"Cost, Inventory, Supplier",Medium,"Wastage, Supplier Issues",Monthly,5K-20K,Medium,Plastic,Quality,"Sustainability, Regulation, Supplier Issues",50K-2L,20-30%,High,Operations,"Cost Dashboard, Performance, Supplier Analytics",Not Sure,Maybe
